dt_pregao,AGCX11,ALZR11,BBPO11,BCFF11,BCFF11B,BRCO11,BRCR11,BRCR11B,BTCI11,BTHF11,BTLG11,CLIN11,CPSH11,CPTS11,CPTS11B,CSBC11,CVBI11,DEVA11,FEXC11,FEXC11B,FRBR11,GALG11,GARE11,GGRC11,GTWR11,HABT11,HCTR11,HFOF11,HGBS11,HGCR11,HGLG11,HGRE11,HGRU11,HSML11,IRDM11,ITRI11,JSAF11,JSRE11,KISU11,KNCR11,KNHF11,KNHY11,KNIP11,KNRI11,KNSC11,KNUQ11,KORE11,LVBI11,MALL11,MCCI11,MCHY11,MCRE11,MGFF11,MXRF11,PMLL11,PVBI11,RBRF11,RBRP11,RBRR11,RBRY11,RBVA11,RECR11,RECT11,RZAK11,RZTR11,SAAG11,SARE11,SDIL11,TBOF11,TGAR11,TGAR11B,TRBL11,TRXF11,TRXL11,TVRI11,UBSR11,URPR11,VCJR11,VGHF11,VGIP11,VGIR11,VILG11,VINO11,VISC11,VRTA11,XPCI11,XPIN11,XPLG11,XPML11
2020-01-02,6.19428734756,4.97374934625,88.8070282211,8.35546432424,78.91,88.6273268203,69.754574785,152.5,4.91844154335,,76.066164058,,,6.20355780909,114.762052528,32.3746411932,51.5309244119,,4.91844154335,106.2,50.1200038667,,,8.83347817638,65.1307556531,54.7292028462,57.4144983975,7.3672951783,19.8745693733,68.8489796911,133.054264671,129.413282385,81.6450123627,77.3948662228,71.1688704606,,,78.4239877791,,60.062523884,,58.80498807,61.5262773389,133.693238323,,,,86.4770357931,81.5050098674,58.8205275994,,,84.6680968516,7.55218922728,81.5050098674,,7.83781865349,63.877936731,61.5969348447,58.3272902073,9.10652438875,52.0323009654,64.4661547894,,,138.420431204,,88.2774928227,50.1492300737,68.57470345,120.47,88.2774928227,,64.2769217222,88.8070282211,52.0323009654,,,,,6.353045126,96.0084121625,8.46238215445,93.277344559,75.6598472933,53.2369758983,114.563454382,95.2338860352,89.9177493107
2020-01-03,6.19428734756,5.122979019,88.6453712701,8.69179916135,78.91,87.9897201525,70.3821489465,152.5,4.94260230883,,80.8085992249,,,6.21976054665,115.061793334,32.3746411932,51.7287398607,,4.94260230883,106.2,50.1200038667,,,8.82524128452,65.1307556531,55.4191602632,58.0524372686,7.4046718641,19.9003204765,69.5012219276,138.790660799,132.728302426,81.3502871921,77.3322490171,70.8675202681,,,77.6795586752,,60.345837676,,58.1587794099,62.4358693727,133.693238323,,,,87.5012556935,83.1618748061,58.681129758,,,86.21753599,7.3542919175,83.1618748061,,7.868482593,65.388008628,61.2672456305,57.8454560708,9.04166539463,52.4491277733,66.7028453976,,,136.904164997,,90.4652136763,50.2978937992,68.8108117468,120.47,90.4652136763,,64.2769217222,88.6453712701,52.4491277733,,,,,6.55269763197,94.7197086436,8.47758333837,94.1899111724,76.7084938254,53.9043632529,115.744704508,94.9805201928,93.6305741544
2020-01-06,6.19428734756,5.04079954484,88.1291119751,8.61621829908,78.91,87.3521134847,71.2619258083,152.5,4.94001365538,,83.9223823147,,,6.22289656037,115.119807684,32.3746411932,51.4814705497,,4.94001365538,106.2,50.1200038667,,,8.8340665258,65.9518005601,55.3746468814,58.3926713331,7.41693608913,19.8151437506,67.9508100539,134.686062257,135.118941879,82.2713033502,77.6453350455,70.8122727328,,,78.3916212964,,60.5328247786,,58.705571353,62.3044254372,132.608152922,,,,87.2041054755,84.3089351483,57.3139586216,,,84.0197959568,7.03872593704,84.3089351483,,8.02469511507,66.026156166,61.8332121148,58.3272902073,8.99985546454,52.9559512783,67.046951645,,,136.561782305,,91.2338723546,50.2978937992,68.7665414412,120.47,91.2338723546,,64.2769217222,88.1291119751,52.9559512783,,,,,6.35662863251,95.7248973884,8.47524469469,94.5158278201,74.8628759288,52.8776134766,122.873756773,92.1618251954,94.9718564277
2020-01-07,6.19428734756,4.98544015011,88.5984386069,8.54819552303,78.91,86.3957034831,72.728220578,152.5,4.93569923298,,83.7102207414,,,6.2202832156,115.071462392,32.3746411932,51.5803782741,,4.93569923298,106.2,50.1200038667,,,8.87819273222,65.8478015385,55.1565313109,58.4054301106,7.41693608913,19.4453843204,68.4266261117,131.171421303,136.017822313,85.157153979,78.0836554853,70.0588972516,,,78.8188588691,,60.6178189162,,58.8795506077,62.251847863,133.123903391,,,,90.4032120782,83.7927579943,59.1582992919,,,80.6421482953,6.92105726636,83.7927579943,,7.76723373611,66.5189829776,61.2672456305,58.0736932934,9.01379210791,52.9701612832,65.331797068,,,136.943294447,,86.9234709971,50.7934395509,68.8550820525,120.47,86.9234709971,,64.2769217222,88.5984386069,52.9701612832,,,,,6.2921255152,92.677113566,8.46355147629,92.306112949,75.7647119465,53.9043632529,121.389774203,89.2987911756,95.2504802816
2020-01-08,6.19428734756,4.75884486361,87.6076379397,8.3909873295,78.91,87.9897201525,71.091835615,152.5,4.95727134501,,79.9973932095,,,6.20408047804,114.771721586,32.3746411932,51.6842313847,,4.95727134501,106.2,50.1200038667,,,8.82524128452,65.1362292858,54.057050782,58.8177340513,7.23005266011,18.9864864561,67.9989262844,125.108665658,131.478794872,83.8738714653,78.2715071023,69.561669434,,,79.5503413799,,61.0824535349,,58.9938798321,62.2886521649,125.588588104,,,,88.9870067837,82.8368743758,59.5121553507,,,78.4508912711,6.685719925,82.8368743758,,7.57630732025,64.5097659766,59.9814576953,58.8294120969,8.89801076304,53.0222646341,63.982255379,,,135.485722415,,81.6256388759,50.5456666751,68.9583794323,120.47,81.6256388759,,64.2769217222,87.6076379397,53.0222646341,,,,,5.98957517922,89.8677398947,8.18057559107,92.0388612979,73.4052572492,53.1856384095,103.403905458,88.6780448615,93.2417966838
2020-01-09,6.19428734756,4.74509097672,88.024817168,8.50874224449,78.91,87.6581646853,70.1608360272,152.5,4.97905244866,,79.4794693689,,,6.04153043351,111.764644466,32.3746411932,51.255853985,,4.97905244866,106.2,50.1200038667,,,8.76522964378,65.5741199029,53.6742356991,58.8091443859,7.21545239222,19.115241972,66.6677105721,122.51034181,131.644545874,85.0404919323,77.9584210739,69.1146666485,,,78.5016673378,,60.833137398,,58.6807171738,62.5673133082,121.234850384,,,,86.9701787081,82.2760893197,59.1368534701,,,77.0738728818,6.6589770453,82.2760893197,,7.50861522735,65.1869091687,59.6407788407,58.8294120969,8.89211449085,52.702614928,63.3386909702,,,136.95307681,,81.0047991742,50.5456666751,68.8108117468,120.47,81.0047991742,,64.2769217222,88.024817168,52.702614928,,,,,5.94196573549,90.2092463272,8.15601983243,90.6700113777,72.8809339831,53.4012558625,98.8332391433,86.3977522794,91.168316841
2020-01-10,6.19428734756,4.77947569395,87.8840191785,8.59990733997,78.91,86.140660816,70.5025953696,152.5,5.00786337814,,79.5481098779,,,6.11313608013,113.089305448,32.3746411932,53.7912504552,,5.00786337814,106.2,50.1200038667,,,8.8246529351,65.6835925571,51.1859376599,57.5507584,7.14829115992,19.1251462424,65.7695409349,123.037537953,133.397681473,85.2738160257,78.2088898966,69.9132446586,,,77.0516489092,,60.799139743,,58.4073212022,62.7303037883,119.828258197,,,,90.2261864163,80.549126249,60.2627591119,,,77.0086113467,6.70176565282,80.549126249,,7.31884594129,65.1742404467,60.4704966963,58.8040524055,8.83904804111,52.9458577662,64.1453119065,,,139.829091423,7.12576307581,83.9611787061,50.7785731784,68.9141091267,120.47,83.9611787061,,64.2769217222,87.8840191785,52.9458577662,,,,,5.99008710872,91.5430544693,8.3021850624,90.5396447187,75.0568755373,53.5450008312,106.075074084,88.2029839069,90.5203543901
2020-01-13,6.19428734756,4.80526423186,87.0861639044,8.64928843335,78.91,86.0705240825,70.2197600517,152.5,4.99825973498,,79.1237867314,,,6.07236790176,112.335118904,32.3746411932,52.7053635584,,4.99825973498,106.2,50.1200038667,,,8.81053254904,65.6835925571,51.1458756164,56.4555760573,7.19442800646,19.3463416159,67.9989262844,124.462222768,132.626301809,83.5054650021,77.9584210739,69.2885068331,,,78.0679564685,,60.6291514679,,58.7552797115,62.6461796696,122.909364892,,,,89.1450654103,79.3383403323,59.5121553507,,,77.1391344168,6.74990283628,79.3383403323,,7.34007794471,64.1037334357,60.774368539,58.2370078553,8.77740519547,53.1318669953,63.79343029,,,138.038919062,7.1868464989,83.0742648465,50.8677714137,69.0518389665,120.47,83.0742648465,,64.2769217222,87.0861639044,53.1318669953,,,,,5.98957517922,92.1423016057,8.19577677499,90.5852730494,75.4710909175,53.3601858715,108.301047938,88.621037547,90.5203543901
2020-01-14,6.19428734756,4.87231443045,87.3416861817,8.70626661803,78.91,82.2512601426,69.5303489645,152.5,4.99258485493,,79.1861871941,,,6.01069296525,111.194170029,32.3746411932,53.3479296579,,4.99258485493,106.2,50.1200038667,,,8.76640634262,65.7930652114,51.1903889981,56.8206368382,7.27093341021,19.4618914378,67.843885097,125.334606862,132.823928004,83.3212617705,77.0066395475,69.5360379526,,,76.7732971573,,60.657482847,,59.2026549377,62.6724684567,123.565774579,,,,87.4569992781,78.5035353055,59.234755815,,,77.3675497895,6.78734286786,78.5035353055,,7.57018356282,61.0505714282,60.7191191131,57.4707314362,8.79134183883,52.9410882988,62.8027482004,,,138.909549336,7.04368222602,84.2568166593,50.7934395509,69.0124875837,120.47,84.2568166593,,64.2769217222,87.3416861817,52.9410882988,,,,,5.90500893385,90.5378657246,8.12678678644,90.5396447187,75.292821007,53.0521609386,109.043039223,88.6653765694,92.0106680271
2020-01-15,6.19428734756,4.84411896233,87.419907287,8.63029570513,78.91,83.1757898108,70.6793674432,152.5,5.0048076735,,79.1861871941,,,6.04153043351,111.764644466,32.3746411932,53.7763070576,,5.0048076735,106.2,50.1200038667,,,8.71816169026,66.1488513377,50.700741799,56.5629468752,7.24698897087,19.4321786264,66.9991779382,124.757201563,132.282049728,83.198459616,77.2884169731,67.0203135138,,,77.6795586752,,60.3571702276,,58.5315920984,63.0930890503,122.105597928,,,,87.1219149896,78.7966729485,59.1809549469,,,78.1572143634,6.77129714004,78.7966729485,,7.73387895191,60.1700952476,59.9235273795,56.58185079,8.58926051006,53.1032501908,63.0680128037,,,138.899766973,6.81843710334,84.5228908172,50.5456666751,69.0174065065,120.47,84.5228908172,,64.2769217222,87.419907287,53.1032501908,,,,,5.84065617738,89.8870704475,7.89993834952,90.9307446959,73.9610399112,52.8930147233,108.301047938,87.7279229523,91.3562259517
